racecourse,raceid,racedate,racetime,horseno,horsename,pricemoney,numrunners,raceterms,going,OR,TS,RPR,Flag1,Flag2,Flag3,Flag4,Flag5,draw,pastperformance,lastrun,horseage,weight,trainerRFT,jockeyallowance
Chukyo,776337,2021-01-16,6:35,1,Donau Delta,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,1,10910-,28,5,119,,
Chukyo,776337,2021-01-16,6:35,2,Win Mighty,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,2,13690-,62,4,117,,
Chukyo,776337,2021-01-16,6:35,3,Dirndl,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,3,00008-,104,5,119,,
Chukyo,776337,2021-01-16,6:35,4,Uranus Charm,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,4,06510-,62,6,119,,
Chukyo,776337,2021-01-16,6:35,5,Centelleo,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,5,55215-,62,6,123,,
Chukyo,776337,2021-01-16,6:35,6,Tagano Aswad,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,6,08100-,35,7,115,,
Chukyo,776337,2021-01-16,6:35,7,Satono Garnet,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,7,92408-,35,6,121,,
Chukyo,776337,2021-01-16,6:35,8,Summer Scent,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,8,56310-,153,5,115,,
Chukyo,776337,2021-01-16,6:35,9,Cathedral Bell,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,9,41107-,97,5,117,,
Chukyo,776337,2021-01-16,6:35,10,Satono Damsel,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,10,/2152-,132,5,117,,
Chukyo,776337,2021-01-16,6:35,11,Denko Ange,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,11,14040-,35,8,123,,
Chukyo,776337,2021-01-16,6:35,12,Red Aster,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,12,1/241-,650,5,117,,
Chukyo,776337,2021-01-16,6:35,13,Ablaze,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,13,11000-,90,4,117,,
Chukyo,776337,2021-01-16,6:35,14,Rambling Alley,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,14,11617-,28,5,119,,
Chukyo,776337,2021-01-16,6:35,15,Shigeru Pink Dia,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,15,06572-,35,5,119,,
Chukyo,776337,2021-01-16,6:35,16,Lindy Hop,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,16,50841-,216,6,115,,
Chukyo,776337,2021-01-16,6:35,17,Naruhaya,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,17,24801-,167,7,115,,
Chukyo,776337,2021-01-16,6:35,18,Magic Castle,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,18,20542-,90,4,119,,
Lingfield (AW),774003,2021-01-16,11:45,1,Stormingin,2782,13                            (MAX 14),EW Terms:,Standard,62,25,74,37,-110,-61,-142.75,-44.6666666666667,12,36428-,44,8,135,54,7
Lingfield (AW),774003,2021-01-16,11:45,2,Art Of America,2782,13                            (MAX 14),EW Terms:,Standard,61,50,78,67,-84,-56,-48,-24.3333333333333,2,7006-9,14,6,134,33,5
Lingfield (AW),774003,2021-01-16,11:45,3,Voi,2782,13                            (MAX 14),EW Terms:,Standard,60,53,79,72,-80,-54,-30.5,-20.6666666666667,9,4553-3,7,7,133,33,5
Lingfield (AW),774003,2021-01-16,11:45,4,Ruby Red Empress,2782,13                            (MAX 14),EW Terms:,Standard,61,30,68,37,-103,-65,-142.75,-43.6666666666667,1,66603-,122,4,133,57,3
Lingfield (AW),774003,2021-01-16,11:45,5,Merweb,2782,13                            (MAX 14),EW Terms:,Standard,59,66,79,86,-66,-53,13.25,-11,7,0043-7,14,6,132,30,
Lingfield (AW),774003,2021-01-16,11:45,6,Tebay,2782,13                            (MAX 14),EW Terms:,Standard,59,NA,73,NA,NA,-59,NA,NA,14,13016-,25,6,132,60,
Lingfield (AW),774003,2021-01-16,11:45,7,Cafe Sydney,2782,13                            (MAX 14),EW Terms:,Standard,59,65,73,79,-67,-59,-12.25,-15.6666666666667,10,5331-1,12,5,132,32,
Lingfield (AW),774003,2021-01-16,11:45,8,Cafe Milano,2782,13                            (MAX 14),EW Terms:,Standard,59,63,78,82,-68,-53,3.25,-13,5,76225-,44,4,131,80,
Lingfield (AW),774003,2021-01-16,11:45,9,Saucy Encore,2782,13                            (MAX 14),EW Terms:,Standard,58,68,75,85,-62,-55,11.75,-10.6666666666667,11,6326-4,7,4,130,67,3
Lingfield (AW),774003,2021-01-16,11:45,10,Enmeshing,2782,13                            (MAX 14),EW Terms:,Standard,57,13,77,33,-117,-53,-143.75,-45.6666666666667,4,7090-4,12,8,130,35,
Lingfield (AW),774003,2021-01-16,11:45,11,Mr Dib Dab,2782,13                            (MAX 14),EW Terms:,Standard,58,64,75,81,-66,-55,-0.25,-13.3333333333333,3,00370-,21,4,130,43,
Lingfield (AW),774003,2021-01-16,11:45,12,Bruyere,2782,13                            (MAX 14),EW Terms:,Standard,56,43,66,53,-86,-63,-90.25,-32,13,/8095-,35,5,129,33,
Lingfield (AW),774003,2021-01-16,11:45,13,Regulator,2782,13                            (MAX 14),EW Terms:,Standard,52,65,73,86,-60,-52,21,-8.66666666666667,6,0000-3,12,6,125,35,
Lingfield (AW),774003,2021-01-16,11:45,14,Confab,2782,13                            (MAX 14),EW Terms:,Standard,48,68,73,93,-53,-48,49,-2.66666666666667,8,0/88-3,11,5,121,38,
Fairyhouse,776172,2021-01-16,12:00,1,Alexei Vronsky,NA,8,EW Terms:,Heavy,NA,50,114,NA,-111,-47,NA,NA,,461,53,4,161,33,
Fairyhouse,776172,2021-01-16,12:00,2,Autumn Evening,NA,8,EW Terms:,Heavy,NA,83,129,NA,-78,-32,NA,NA,,15,21,4,161,20,
Fairyhouse,776172,2021-01-16,12:00,3,Druid's Altar,NA,8,EW Terms:,Heavy,NA,99,128,NA,-62,-33,NA,NA,,136,21,4,161,72,
Fairyhouse,776172,2021-01-16,12:00,4,Josh D'id,NA,8,EW Terms:,Heavy,NA,NA,NA,NA,NA,NA,NA,NA,,1,66,4,161,54,
Fairyhouse,776172,2021-01-16,12:00,5,Teahupoo,NA,8,EW Terms:,Heavy,NA,NA,128,NA,NA,-33,NA,NA,,1,90,4,161,56,
Fairyhouse,776172,2021-01-16,12:00,6,Youmdor,NA,8,EW Terms:,Heavy,NA,116,140,NA,-45,-21,NA,NA,,1,57,4,161,56,
Fairyhouse,776172,2021-01-16,12:00,7,Awkwafina,NA,8,EW Terms:,Heavy,NA,111,127,NA,-43,-27,NA,NA,,1,21,4,154,,
Fairyhouse,776172,2021-01-16,12:00,8,Merry Poppins,NA,8,EW Terms:,Heavy,NA,74,116,NA,-80,-38,NA,NA,,1,152,4,154,,
Lingfield (AW),774002,2021-01-16,12:15,1,Contingency Fee,2782,6                            (MAX 16),EW Terms:,Standard,61,51,67,57,-89,-73,-102.75,-35,2,344-43,9,6,140,44,5
Lingfield (AW),774002,2021-01-16,12:15,2,Melburnian,2782,6                            (MAX 16),EW Terms:,Standard,68,68,82,82,-66,-52,7,-12,6,8807-7,7,5,134,43,7
Lingfield (AW),774002,2021-01-16,12:15,3,Jan Wellens,2782,6                            (MAX 16),EW Terms:,Standard,63,NA,73,NA,NA,-58,NA,NA,3,8/510-,NA,4,131,56,
Lingfield (AW),774002,2021-01-16,12:15,4,Kommodity Kid,2782,6                            (MAX 16),EW Terms:,Standard,63,43,79,59,-88,-52,-61,-27,4,68090-,32,4,131,100,3
Lingfield (AW),774002,2021-01-16,12:15,5,Faramman,2782,6                            (MAX 16),EW Terms:,Standard,72,23,83,34,-102,-42,-107.5,-36.6666666666667,1,/3234-,32,4,125,50,
Lingfield (AW),774002,2021-01-16,12:15,6,Keane's Kingdom,2782,6                            (MAX 16),EW Terms:,Standard,58,41,78,61,-84,-47,-44.25,-23.3333333333333,5,4595-,29,4,125,52,
Lingfield (AW),774002,2021-01-16,12:15,7,Gypsy Dancer,2782,6                            (MAX 16),EW Terms:,Standard,60,56,84,80,-64,-36,33,-6.66666666666667,7,7/48-3,10,4,120,43,
Market Rasen,773840,2021-01-16,12:20,1,Mac Tottie,7018,9                            (MAX 16),EW Terms:,Heavy,126,115,138,127,-50,-27,156.75,16.6666666666667,0,/P-8P1,17,8,165,25,
Market Rasen,773840,2021-01-16,12:20,2,Haul Away,7018,9                            (MAX 16),EW Terms:,Heavy,123,102,133,112,-60,-29,113.25,7.66666666666667,0,/4-420,92,8,162,32,
Market Rasen,773840,2021-01-16,12:20,3,Caltex,7018,9                            (MAX 16),EW Terms:,Heavy,122,115,137,130,-46,-24,172,20,0,51-588,30,9,161,40,
Market Rasen,773840,2021-01-16,12:20,4,Eclair Mag,7018,9                            (MAX 16),EW Terms:,Heavy,121,NA,NA,NA,NA,NA,NA,NA,0,F6-65U,146,7,160,50,5
Market Rasen,773840,2021-01-16,12:20,5,Silver Tassie,7018,9                            (MAX 16),EW Terms:,Heavy,119,125,132,138,-33,-26,197.5,26.3333333333333,0,33F-34,63,13,158,29,
Market Rasen,773840,2021-01-16,12:20,6,Ask Paddy,7018,9                            (MAX 16),EW Terms:,Heavy,118,114,135,131,-43,-22,180.5,22,0,1111-5,57,9,157,,
Market Rasen,773840,2021-01-16,12:20,7,Sizing Cusimano,7018,9                            (MAX 16),EW Terms:,Heavy,118,106,138,126,-51,-19,167.75,18.6666666666667,0,32-262,21,8,157,36,
Market Rasen,773840,2021-01-16,12:20,8,Duhallow Lad,7018,9                            (MAX 16),EW Terms:,Heavy,117,121,142,146,-35,-14,232.5,32.3333333333333,0,5-0212,27,9,156,,
Market Rasen,773840,2021-01-16,12:20,9,Agamemmon,7018,9                            (MAX 16),EW Terms:,Heavy,116,117,138,139,-38,-17,210.25,28,0,2133-P,42,9,155,,
Market Rasen,773840,2021-01-16,12:20,10,Ivilnoble,7018,9                            (MAX 16),EW Terms:,Heavy,115,120,138,143,-34,-16,224,31,0,U1-P53,40,8,154,50,
Fairyhouse,776173,2021-01-16,12:30,1,Diaspora,NA,14,EW Terms:,Heavy,NA,10,81,NA,-153,-82,NA,NA,,06,17,6,163,,
Fairyhouse,776173,2021-01-16,12:30,2,Global Equity,NA,14,EW Terms:,Heavy,NA,105,135,NA,-58,-28,NA,NA,,33P-24,41,6,163,72,
Fairyhouse,776173,2021-01-16,12:30,3,Mis Clogher,NA,14,EW Terms:,Heavy,NA,NA,NA,NA,NA,NA,NA,NA,,341,NA,6,163,,
Fairyhouse,776173,2021-01-16,12:30,4,Quarry Girl,NA,14,EW Terms:,Heavy,NA,68,93,NA,-95,-70,NA,NA,,2-596,21,6,163,50,
Fairyhouse,776173,2021-01-16,12:30,5,Roseys Hollow,NA,14,EW Terms:,Heavy,NA,107,131,NA,-56,-32,NA,NA,,1/3-4,33,7,163,,
Fairyhouse,776173,2021-01-16,12:30,6,Schone Aussicht,NA,14,EW Terms:,Heavy,NA,55,114,NA,-108,-49,NA,NA,,5,33,6,163,54,
Fairyhouse,776173,2021-01-16,12:30,7,Sketrick,NA,14,EW Terms:,Heavy,NA,NA,71,NA,NA,-92,NA,NA,,/14P90,21,8,163,67,
Fairyhouse,776173,2021-01-16,12:30,8,Tellemnothing,NA,14,EW Terms:,Heavy,NA,NA,91,NA,NA,-72,NA,NA,,5/8,14,10,163,,5
Fairyhouse,776173,2021-01-16,12:30,9,Callaghy Rose,NA,14,EW Terms:,Heavy,NA,NA,NA,NA,NA,NA,NA,NA,,0,83,5,161,56,
Fairyhouse,776173,2021-01-16,12:30,10,Fairy Orchard,NA,14,EW Terms:,Heavy,NA,NA,NA,NA,NA,NA,NA,NA,,90,166,5,161,,5
Fairyhouse,776173,2021-01-16,12:30,11,Grey Like Myself,NA,14,EW Terms:,Heavy,NA,NA,11,NA,NA,-150,NA,NA,,00,51,5,161,,
Fairyhouse,776173,2021-01-16,12:30,12,Mullins Cross,NA,14,EW Terms:,Heavy,NA,NA,NA,NA,NA,NA,NA,NA,,5,29,5,161,,
Fairyhouse,776173,2021-01-16,12:30,13,Tipperary Dexter,NA,14,EW Terms:,Heavy,NA,46,72,NA,-115,-89,NA,NA,,08,15,5,161,,
Fairyhouse,776173,2021-01-16,12:30,14,X' Girl,NA,14,EW Terms:,Heavy,NA,36,96,NA,-125,-65,NA,NA,,7UP,27,5,161,14,3
Fairyhouse,776173,2021-01-16,12:30,15,Only For Pascal,NA,14,EW Terms:,Heavy,NA,NA,NA,NA,NA,NA,NA,NA,,00,42,5,161,25,
Warwick,773849,2021-01-16,12:40,1,Will Sting,3769,11                            (MAX 18),EW Terms:,Heavy,109,92,111,94,-74,-55,17.75,-11.6666666666667,0,6-1475,25,6,166,57,
Warwick,773849,2021-01-16,12:40,2,Pasley,3769,11                            (MAX 18),EW Terms:,Heavy,107,84,116,93,-80,-48,22,-11.6666666666667,0,-56878,27,5,164,55,
Warwick,773849,2021-01-16,12:40,3,The Garrison,3769,11                            (MAX 18),EW Terms:,Heavy,106,103,117,114,-60,-46,87.5,2.66666666666667,0,1865U0,21,7,163,33,5
Warwick,773849,2021-01-16,12:40,4,K'chou Du Pecos AA,3769,11                            (MAX 18),EW Terms:,Heavy,106,96,111,101,-67,-52,44,-6,0,P54-96,21,7,163,,
Warwick,773849,2021-01-16,12:40,5,Detatched,3769,11                            (MAX 18),EW Terms:,Heavy,104,108,117,121,-53,-44,112,8,0,36-717,32,9,161,,7
Warwick,773849,2021-01-16,12:40,6,Frankincense,3769,11                            (MAX 18),EW Terms:,Heavy,103,91,115,103,-69,-45,58.25,-3.66666666666667,0,690-31,74,6,160,,7
Warwick,773849,2021-01-16,12:40,7,Top Beak,3769,11                            (MAX 18),EW Terms:,Heavy,98,80,110,92,-75,-45,30.25,-9.33333333333333,0,P0-44B,13,8,155,,
Warwick,773849,2021-01-16,12:40,8,Memphis Bleek,3769,11                            (MAX 18),EW Terms:,Heavy,94,100,112,118,-51,-39,116.75,9.33333333333333,0,-55377,51,5,151,,
Warwick,773849,2021-01-16,12:40,9,Magnificent Ben,3769,11                            (MAX 18),EW Terms:,Heavy,92,96,113,117,-53,-36,118,9.33333333333333,0,1-040,48,6,149,25,3
Warwick,773849,2021-01-16,12:40,10,Black Kalarosa,3769,11                            (MAX 18),EW Terms:,Heavy,92,74,117,99,-75,-32,67,-2.66666666666667,0,P66-8P,44,7,149,67,5
Warwick,773849,2021-01-16,12:40,11,Jawshan,3769,11                            (MAX 18),EW Terms:,Heavy,83,49,110,76,-91,-30,8.5,-15,0,580-70,50,6,140,43,
Warwick,773849,2021-01-16,12:40,12,Mawlood,3769,11                            (MAX 18),EW Terms:,Heavy,83,84,110,111,-56,-30,113.5,8.33333333333333,0,-FP605,27,5,140,100,7
Lingfield (AW),774001,2021-01-16,12:50,1,Wannabe Betsy,3429,7                            (MAX 12),EW Terms:,Standard,NA,NA,69,NA,NA,-67,NA,NA,6,5/,424,4,136,,3
Lingfield (AW),774001,2021-01-16,12:50,2,Angel Mill,3429,7                            (MAX 12),EW Terms:,Standard,NA,39,71,NA,-77,-45,NA,NA,7,5-6,12,3,116,63,
Lingfield (AW),774001,2021-01-16,12:50,3,Cordarosa,3429,7                            (MAX 12),EW Terms:,Standard,NA,25,54,NA,-91,-62,NA,NA,3,4-,30,3,116,46,5
Lingfield (AW),774001,2021-01-16,12:50,4,Kestenna,3429,7                            (MAX 12),EW Terms:,Standard,NA,NA,NA,NA,NA,NA,NA,NA,2,,31,3,116,80,
Lingfield (AW),774001,2021-01-16,12:50,5,Skulk,3429,7                            (MAX 12),EW Terms:,Standard,NA,38,66,NA,-78,-50,NA,NA,4,8-,32,3,116,36,
Lingfield (AW),774001,2021-01-16,12:50,6,Sky Bright,3429,7                            (MAX 12),EW Terms:,Standard,NA,34,68,NA,-82,-48,NA,NA,1,84-,49,3,116,67,
Lingfield (AW),774001,2021-01-16,12:50,7,Zaurak,3429,7                            (MAX 12),EW Terms:,Standard,NA,36,50,NA,-80,-66,NA,NA,5,7-,424,3,116,53,7
Market Rasen,773842,2021-01-16,12:55,1,Across The Line,3769,6                            (MAX 16),EW Terms:,Heavy,124,105,123,104,-63,-45,66.25,-1.33333333333333,0,-41341,17,6,168,58,7
Market Rasen,773842,2021-01-16,12:55,2,Art Approval,3769,6                            (MAX 16),EW Terms:,Heavy,118,104,136,122,-52,-20,157,16.6666666666667,0,227,64,5,156,53,3
Market Rasen,773842,2021-01-16,12:55,3,Bring The Bacon,3769,6                            (MAX 16),EW Terms:,Heavy,NA,90,109,NA,-66,-47,NA,NA,0,35-46,33,6,156,17,
Market Rasen,773842,2021-01-16,12:55,4,Diakosaint,3769,6                            (MAX 16),EW Terms:,Heavy,NA,NA,NA,NA,NA,NA,NA,NA,0,P41,NA,6,156,24,
Market Rasen,773842,2021-01-16,12:55,5,Grandads Cottage,3769,6                            (MAX 16),EW Terms:,Heavy,NA,NA,121,NA,NA,-35,NA,NA,0,/32-55,50,6,156,56,
Market Rasen,773842,2021-01-16,12:55,6,Grand Lord,3769,6                            (MAX 16),EW Terms:,Heavy,NA,91,114,NA,-65,-42,NA,NA,0,36-040,37,5,156,100,
Market Rasen,773842,2021-01-16,12:55,7,Locallink,3769,6                            (MAX 16),EW Terms:,Heavy,NA,24,86,NA,-132,-70,NA,NA,0,1-U8,63,7,156,,3
Market Rasen,773842,2021-01-16,12:55,8,Shutthegate,3769,6                            (MAX 16),EW Terms:,Heavy,100,86,105,91,-70,-51,22.75,-10,0,0/95-5,17,7,156,25,
Market Rasen,773842,2021-01-16,12:55,9,Martello Sky,3769,6                            (MAX 16),EW Terms:,Heavy,NA,107,136,NA,-48,-19,NA,NA,0,12-151,27,5,155,57,
Market Rasen,773842,2021-01-16,12:55,10,Gale Force One,3769,6                            (MAX 16),EW Terms:,Heavy,NA,NA,61,NA,NA,-88,NA,NA,0,5,49,5,149,,
Fairyhouse,776268,2021-01-16,1:05,1,Ballybeatnik,NA,14,EW Terms:,Heavy,NA,28,69,NA,-135,-94,NA,NA,,5-7,96,6,163,50,7
Fairyhouse,776268,2021-01-16,1:05,2,Chandlier,NA,14,EW Terms:,Heavy,NA,NA,NA,NA,NA,NA,NA,NA,,P0,21,6,163,,
Fairyhouse,776268,2021-01-16,1:05,3,La Chanteuse,NA,14,EW Terms:,Heavy,NA,90,114,NA,-73,-49,NA,NA,,1442-0,30,7,163,67,
Fairyhouse,776268,2021-01-16,1:05,4,Merry Doyenne,NA,14,EW Terms:,Heavy,NA,NA,NA,NA,NA,NA,NA,NA,,,46,6,163,67,3
Fairyhouse,776268,2021-01-16,1:05,5,More Info,NA,14,EW Terms:,Heavy,104,62,115,73,-101,-48,-39,-25.3333333333333,,410328,33,6,163,50,
Fairyhouse,776268,2021-01-16,1:05,6,Norwigi,NA,14,EW Terms:,Heavy,NA,NA,NA,NA,NA,NA,NA,NA,,27,33,6,163,100,
Fairyhouse,776268,2021-01-16,1:05,7,One More Light,NA,14,EW Terms:,Heavy,NA,9,99,NA,-154,-64,NA,NA,,60,NA,6,163,54,
Fairyhouse,776268,2021-01-16,1:05,8,Passion View,NA,14,EW Terms:,Heavy,NA,NA,NA,NA,NA,NA,NA,NA,,2-1,57,6,163,56,
Fairyhouse,776268,2021-01-16,1:05,9,Tisadream,NA,14,EW Terms:,Heavy,NA,74,97,NA,-89,-66,NA,NA,,95,34,6,163,54,5
Fairyhouse,776268,2021-01-16,1:05,10,Tweeds Corner,NA,14,EW Terms:,Heavy,NA,NA,NA,NA,NA,NA,NA,NA,,P4,21,6,163,67,
Fairyhouse,776268,2021-01-16,1:05,11,Atlantic Adventure,NA,14,EW Terms:,Heavy,NA,NA,NA,NA,NA,NA,NA,NA,,9,14,5,161,,
Fairyhouse,776268,2021-01-16,1:05,12,Back On The Bridle,NA,14,EW Terms:,Heavy,NA,81,113,NA,-80,-48,NA,NA,,5-7396,42,5,161,,
Fairyhouse,776268,2021-01-16,1:05,13,Manitopark AA,NA,14,EW Terms:,Heavy,NA,88,115,NA,-73,-46,NA,NA,,5,21,5,161,56,
Fairyhouse,776268,2021-01-16,1:05,14,Mighty Meggsie,NA,14,EW Terms:,Heavy,NA,85,109,NA,-76,-52,NA,NA,,22549,96,5,161,20,
Warwick,773847,2021-01-16,1:15,1,Destrier,12021,6                            (MAX 20),EW Terms:,Soft,146,110,156,120,-56,-10,166.5,18,0,3/365-,322,8,166,58,3
Warwick,773847,2021-01-16,1:15,2,Sky Pirate,12021,6                            (MAX 20),EW Terms:,Soft,145,124,157,136,-41,-8,217,29,0,22-251,35,8,165,55,
Warwick,773847,2021-01-16,1:15,3,Amoola Gold,12021,6                            (MAX 20),EW Terms:,Soft,143,130,153,140,-33,-10,229.5,32.3333333333333,0,25-112,56,8,163,58,
Warwick,773847,2021-01-16,1:15,4,Dustin Des Mottes,12021,6                            (MAX 20),EW Terms:,Soft,128,100,153,125,-48,5,210.75,27.3333333333333,0,63-283,54,8,148,20,
Warwick,773847,2021-01-16,1:15,5,Equus Millar,12021,6                            (MAX 20),EW Terms:,Soft,122,111,154,143,-31,12,276,41.3333333333333,0,81-471,28,8,142,48,
Warwick,773847,2021-01-16,1:15,6,Generous Day,12021,6                            (MAX 20),EW Terms:,Soft,120,92,147,119,-48,7,202.25,26,0,80-983,31,9,140,,
Lingfield (AW),773998,2021-01-16,1:25,1,Lord Rapscallion,11972,8                            (MAX 12),EW Terms:,Standard,101,88,111,98,-45,-22,112.5,10.3333333333333,2,12284-,59,5,133,76,
Lingfield (AW),773998,2021-01-16,1:25,2,Mission Boy,11972,8                            (MAX 12),EW Terms:,Standard,100,NA,108,NA,NA,-24,NA,NA,5,23824-,118,5,132,53,
Lingfield (AW),773998,2021-01-16,1:25,3,Intuitive,11972,8                            (MAX 12),EW Terms:,Standard,98,96,116,114,-34,-14,169.5,22,6,/0043-,21,5,130,50,
Lingfield (AW),773998,2021-01-16,1:25,4,Fox Power,11972,8                            (MAX 12),EW Terms:,Standard,93,88,117,112,-37,-8,173,22.3333333333333,7,40994-,61,5,125,44,
Lingfield (AW),773998,2021-01-16,1:25,5,Crownthorpe,11972,8                            (MAX 12),EW Terms:,Standard,92,101,115,124,-23,-9,209.25,30.6666666666667,8,0823-1,13,6,124,62,3
Lingfield (AW),773998,2021-01-16,1:25,6,Papa Stour,11972,8                            (MAX 12),EW Terms:,Standard,91,103,113,125,-20,-10,212.5,31.6666666666667,3,6116-2,7,6,123,76,
Lingfield (AW),773998,2021-01-16,1:25,7,Mohareb,11972,8                            (MAX 12),EW Terms:,Standard,88,104,116,132,-16,-4,241,37.3333333333333,1,72668-,28,5,120,38,
Lingfield (AW),773998,2021-01-16,1:25,8,Corazon Espinado,11972,8                            (MAX 12),EW Terms:,Standard,87,105,113,131,-14,-6,237.5,37,4,8462-1,7,6,119,80,7
Market Rasen,773841,2021-01-16,1:30,1,Fontley House,3769,8                            (MAX 18),EW Terms:,Heavy,115,84,120,89,-82,-46,15.5,-13,0,215-3P,46,9,166,25,10
Market Rasen,773841,2021-01-16,1:30,2,Fawsley Spirit,3769,8                            (MAX 18),EW Terms:,Heavy,114,107,123,116,-58,-42,100.5,5.33333333333333,0,682-2F,28,8,165,50,7
Market Rasen,773841,2021-01-16,1:30,3,Blue Hussar,3769,8                            (MAX 18),EW Terms:,Heavy,112,103,121,112,-60,-42,90.5,3.33333333333333,0,516-64,42,10,163,29,
Market Rasen,773841,2021-01-16,1:30,4,Rockhamtom,3769,8                            (MAX 18),EW Terms:,Heavy,112,91,111,90,-72,-52,17,-11.3333333333333,0,P84,32,5,163,25,
Market Rasen,773841,2021-01-16,1:30,5,In The Detail,3769,8                            (MAX 18),EW Terms:,Heavy,110,56,115,61,-105,-46,-63.5,-30,0,/3-043,29,6,161,60,
Market Rasen,773841,2021-01-16,1:30,6,Connetable,3769,8                            (MAX 18),EW Terms:,Heavy,108,NA,114,NA,NA,-45,NA,NA,0,045-PP,46,9,159,33,
Market Rasen,773841,2021-01-16,1:30,7,Akarita Lights,3769,8                            (MAX 18),EW Terms:,Heavy,105,77,121,93,-79,-35,45.75,-7,0,1735-8,25,7,156,43,5
Market Rasen,773841,2021-01-16,1:30,8,Get An Oscar,3769,8                            (MAX 18),EW Terms:,Heavy,97,104,119,126,-44,-29,157.25,17.6666666666667,0,655227,44,7,148,25,
Meydan,776145,2021-01-16,1:30,1,China Road,9861,12,EW Terms:,Good,70,NA,70,NA,NA,-58,NA,NA,1,29038-,44,4,128,,
Meydan,776145,2021-01-16,1:30,2,Great Image,9861,12,EW Terms:,Good,78,NA,NA,NA,NA,NA,NA,NA,11,224/0-,44,4,128,,
Meydan,776145,2021-01-16,1:30,3,Le Factor,9861,12,EW Terms:,Good,NA,NA,56,NA,NA,-72,NA,NA,10,74-,29,4,128,,
Meydan,776145,2021-01-16,1:30,4,Midnight Hunter,9861,12,EW Terms:,Good,NA,NA,NA,NA,NA,NA,NA,NA,9,90-,44,4,128,,
Meydan,776145,2021-01-16,1:30,5,Reyah Al Shemal,9861,12,EW Terms:,Good,NA,NA,NA,NA,NA,NA,NA,NA,12,,30,4,128,,
Meydan,776145,2021-01-16,1:30,6,Spirit Of Light,9861,12,EW Terms:,Good,79,NA,97,NA,NA,-31,NA,NA,7,55524-,7,4,128,,
Meydan,776145,2021-01-16,1:30,7,Sports Reporter,9861,12,EW Terms:,Good,60,NA,78,NA,NA,-50,NA,NA,14,4702-5,29,4,128,,
Meydan,776145,2021-01-16,1:30,8,You're My Rock,9861,12,EW Terms:,Good,67,NA,NA,NA,NA,NA,NA,NA,15,68/52-,58,4,128,,
Meydan,776145,2021-01-16,1:30,9,Bariqa,9861,12,EW Terms:,Good,NA,NA,NA,NA,NA,NA,NA,NA,13,89-,310,4,123,,
Meydan,776145,2021-01-16,1:30,10,Devine Trinity,9861,12,EW Terms:,Good,NA,NA,42,NA,NA,-81,NA,NA,6,008-,324,4,123,,
Meydan,776145,2021-01-16,1:30,11,Emblem Girl,9861,12,EW Terms:,Good,NA,NA,NA,NA,NA,NA,NA,NA,8,,36,4,123,,
Meydan,776145,2021-01-16,1:30,12,Hamama,9861,12,EW Terms:,Good,87,NA,99,NA,NA,-24,NA,NA,2,62356-,29,4,123,,
Meydan,776145,2021-01-16,1:30,13,Rawwani,9861,12,EW Terms:,Good,NA,NA,76,NA,NA,-47,NA,NA,5,8/80-,29,4,123,,
Meydan,776145,2021-01-16,1:30,14,Varsha,9861,12,EW Terms:,Good,75,NA,84,NA,NA,-39,NA,NA,3,07646-,44,4,123,,
Meydan,776145,2021-01-16,1:30,15,Unresolved,9861,12,EW Terms:,Good,60,NA,80,NA,NA,-48,NA,NA,4,49079-,44,4,128,,
Fairyhouse,776174,2021-01-16,1:40,1,Walk To Freedom,NA,14,EW Terms:,Heavy,131,NA,NA,NA,NA,NA,NA,NA,,3U/38P,19,11,165,9,
Fairyhouse,776174,2021-01-16,1:40,2,Elwood,NA,14,EW Terms:,Heavy,128,NA,149,NA,NA,-13,NA,NA,,2F-0UF,19,7,162,54,5
Fairyhouse,776174,2021-01-16,1:40,3,Beyond The Law,NA,14,EW Terms:,Heavy,127,60,142,75,-101,-19,15.75,-15,,0-2F3F,20,9,161,100,
